Long,GEOID,FIPS,County,Primary Census Tract,Prostate__Observed,Prostate__Expected,Prostate_SIR,Prostate_Crude,Signif
1400000US36061009400,36061009400,36061,New York,94,5,0.3,16.66666667,454.5454545,Y
1400000US36047107000,36047107000,36047,Kings,1070,6,1.2,5,11.60541586,Y
1400000US36061009900,36061009900,36061,New York,99,13,3,4.333333333,4.67121811,Y
1400000US36085032300,36085032300,36085,Richmond,323,12,3.4,3.529411765,2.826855124,Y
1400000US36005022703,36005022703,36005,Bronx,227.03,10,3,3.333333333,12.23990208,Y
1400000US36081059000,36081059000,36081,Queens,590,13,4.1,3.170731707,21.81208054,Y
1400000US36081050800,36081050800,36081,Queens,508,17,5.5,3.090909091,17.48971193,Y
1400000US36081053401,36081053401,36081,Queens,534.01,21,7.1,2.957746479,23.67531003,Y
1400000US36081036800,36081036800,36081,Queens,368,20,6.9,2.898550725,17.06484642,Y
1400000US36047096800,36047096800,36047,Kings,968,11,3.9,2.820512821,19.71326165,Y
1400000US36047102000,36047102000,36047,Kings,1020,18,6.4,2.8125,17.52677702,Y
1400000US36047091800,36047091800,36047,Kings,918,21,7.5,2.8,15.6366344,Y
1400000US36081032800,36081032800,36081,Queens,328,18,6.5,2.769230769,16.90140845,Y
1400000US36081061000,36081061000,36081,Queens,610,14,5.1,2.745098039,22.76422764,Y
1400000US36081065000,36081065000,36081,Queens,650,30,11.1,2.702702703,22.72727273,Y
1400000US36005014100,36005014100,36005,Bronx,141,19,7.1,2.676056338,7.802874743,Y
1400000US36081059800,36081059800,36081,Queens,598,16,6,2.666666667,21.50537634,Y
1400000US36061010400,36061010400,36061,New York,104,22,8.3,2.65060241,49.10714286,Y
1400000US36047050801,36047050801,36047,Kings,508.01,27,10.2,2.647058824,13.06240929,Y
1400000US36047080200,36047080200,36047,Kings,802,36,13.7,2.627737226,16.04993313,Y
1400000US36047055500,36047055500,36047,Kings,555,6,2.3,2.608695652,2.261590652,N
1400000US36005037900,36005037900,36005,Bronx,379,23,8.9,2.584269663,9.492364837,Y
1400000US36081063200,36081063200,36081,Queens,632,24,9.3,2.580645161,22.03856749,Y
1400000US36047097000,36047097000,36047,Kings,970,16,6.3,2.53968254,18.80141011,Y
1400000US36047091200,36047091200,36047,Kings,912,28,11.1,2.522522523,10.64638783,Y
1400000US36047082400,36047082400,36047,Kings,824,33,13.2,2.5,16.32855022,N
1400000US36005023302,36005023302,36005,Bronx,233.02,17,6.8,2.5,10.16138673,Y
1400000US36081052000,36081052000,36081,Queens,520,12,4.8,2.5,16.2601626,Y
1400000US36005021900,36005021900,36005,Bronx,219,8,3.2,2.5,12.96596434,Y
1400000US36061017402,36061017402,36061,New York,174.02,8,3.2,2.5,7.722007722,N
1400000US36005021301,36005021301,36005,Bronx,213.01,6,2.4,2.5,10.92896175,N
1400000US36061000900,36061000900,36061,New York,9,3,1.2,2.5,3.171247357,Y
1400000US36061009600,36061009600,36061,New York,96,2,0.8,2.5,22.98850575,Y
1400000US36081044000,36081044000,36081,Queens,440,19,7.7,2.467532468,10.06355932,Y
1400000US36047100400,36047100400,36047,Kings,1004,18,7.3,2.465753425,13.54401806,Y
1400000US36047076600,36047076600,36047,Kings,766,13,5.3,2.452830189,11.4638448,Y
1400000US36047101000,36047101000,36047,Kings,1010,13,5.3,2.452830189,13.80042463,Y
1400000US36047112400,36047112400,36047,Kings,1124,19,7.8,2.435897436,12.52471984,Y
1400000US36061011202,36061011202,36061,New York,112.02,8,3.3,2.424242424,55.94405594,Y
1400000US36005037600,36005037600,36005,Bronx,376,15,6.2,2.419354839,13.91465677,Y
1400000US36081063800,36081063800,36081,Queens,638,28,11.6,2.413793103,13.91650099,Y
1400000US36047113200,36047113200,36047,Kings,1132,13,5.4,2.407407407,14.42841287,Y
1400000US36047033500,36047033500,36047,Kings,335,18,7.5,2.4,11.0633067,Y
1400000US36081037100,36081037100,36081,Queens,371,12,5,2.4,13.60544218,Y
1400000US36005040600,36005040600,36005,Bronx,406,22,9.2,2.391304348,12.83547258,Y
1400000US36047072000,36047072000,36047,Kings,720,11,4.6,2.391304348,13.43101343,Y
1400000US36081032000,36081032000,36081,Queens,320,26,10.9,2.385321101,10.42920176,Y
1400000US36047037500,36047037500,36047,Kings,375,15,6.3,2.380952381,10.21798365,Y
1400000US36047100600,36047100600,36047,Kings,1006,15,6.3,2.380952381,11.22754491,Y
1400000US36047085000,36047085000,36047,Kings,850,14,5.9,2.372881356,21.43950995,Y
1400000US36047037900,36047037900,36047,Kings,379,21,8.9,2.359550562,12.97096973,Y
1400000US36005022101,36005022101,36005,Bronx,221.01,16,6.8,2.352941176,9.417304297,Y
1400000US36005014300,36005014300,36005,Bronx,143,12,5.1,2.352941176,26.43171806,Y
1400000US36005014702,36005014702,36005,Bronx,147.02,22,9.4,2.340425532,10.24208566,Y
1400000US36061010300,36061010300,36061,New York,103,11,4.7,2.340425532,10.27077498,Y
1400000US36047051601,36047051601,36047,Kings,516.01,31,13.3,2.330827068,14.56082668,Y
1400000US36047073200,36047073200,36047,Kings,732,17,7.3,2.328767123,14.03798514,Y
