CountyName,CountyFIPS,GEOID,TotalPopulation,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CERVICAL_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
Albany,36001,36001000100,2139,17.8,28.6,14.9,36.8,76.1,5.6,14.6,85.3,7.5,82.9,86.5,58.7,9.4,19.4,19.5,25,51.6,15.7,31.4,3.8,31.9,82.6,17.6,41.3,16,48,4.6,27.3,POINT (-73.73617406 42.66901207)
Albany,36001,36001000200,6046,17.9,24.5,15.6,36.9,74.3,4.5,14.5,85.5,6.1,82.7,84.8,57.9,7.7,17.9,19.2,24.1,51.9,14.2,29.5,3.3,30.5,83.9,17.2,41.7,14.2,49.1,4.1,27.5,POINT (-73.75150284 42.66443424)
Albany,36001,36001000300,5888,15.2,29,16,35.4,77.1,6.6,12.9,83.6,8.4,81.4,84.8,60.2,9.4,21.6,20.6,22.2,56.1,13.9,33.4,3.7,28.9,80.5,16,36.6,14.8,43.3,4.4,24.6,POINT (-73.78273667 42.68094736)
Albany,36001,36001000401,2227,8.3,38.8,11.6,40,85.7,13.7,9.7,88.3,10.8,87.2,93.1,71.5,8.5,28.7,24,10.2,74.6,12.5,39.1,4.4,23.6,80.5,8.7,24.4,11.6,31.3,4.8,12.6,POINT (-73.86473605 42.70629324)
Albany,36001,36001000403,4415,8.7,22.3,19.8,25.2,74.1,6.6,10.2,85.6,5.2,79.7,86.8,70.1,5.3,29.6,28.5,13.1,73.9,7.9,29.3,2.4,16.9,80.8,10.9,25.6,8.6,35.7,2.3,10.9,POINT (-73.8052514 42.67686959)
Albany,36001,36001000404,5203,11.3,3.4,30.4,6,14.2,0.7,11.5,71.6,0.5,73.8,73.5,62.3,1.7,23.6,24,10.4,76.1,1,7,0.6,11.8,78.6,15.9,16.5,3.8,36.2,0.3,17.5,POINT (-73.82946749 42.69003456)
Albany,36001,36001000501,3412,16.2,23.4,19,28.9,72,4.9,12.8,81.1,6.4,78.6,81.6,59.6,8,20.9,20.9,22.8,56.2,11.4,29.1,3,26.9,80.6,16.8,34.6,13.2,43.4,3.4,24.1,POINT (-73.78242689 42.67033588)
Albany,36001,36001000502,3448,10.8,11,24.8,14.2,54.7,2.6,11.9,78.8,2.4,75.6,76.2,64.5,3.7,25.7,25.9,14.6,69.6,4,17.2,1.3,16.2,79.6,16.3,23.1,6.9,37.8,1.2,14.8,POINT (-73.78672206 42.66700392)
Albany,36001,36001000600,3676,19.3,19.1,19.6,26.8,65.5,3.2,13.9,76.1,5.3,76.7,74.8,51.8,7.8,16.9,18.6,26.7,48.3,10.6,25.8,2.7,29,80.9,20.7,35.8,14.2,46.4,3,30.7,POINT (-73.77364813 42.6645824)
Albany,36001,36001000700,3821,19,27.2,14.5,38.5,75.6,4.9,15.2,84.4,7.1,83.5,85.3,58.2,9.1,16.8,18.3,25.7,48.7,16.3,30.4,3.9,32.7,83.2,18.3,43.5,16,50,4.8,31.3,POINT (-73.76636052 42.67024999)
